城市shapefile,City,Lat,Long,tarl_2011,trev_2011,dmarl_2011,dmrev_2011,inarl_2011,inrev_2011,CPIpy_2011,CPI11_2011,hprice_2011,emphotel_2011,GDP_2011,GDPpc_2011,slry_2011,pop_2011,area_2011,road_2011,terti_2011,invest_2011,forncap_2011,bus_2011,taxi_2011,hotel_2011,spot5A_2011,scenum_2011,subnum_2011,grnld_2011,tarl_2012,trev_2012,dmarl_2012,dmrev_2012,inarl_2012,inrev_2012,CPIpy_2012,CPI11_2012,hprice_2012,emphotel_2012,GDP_2012,GDPpc_2012,slry_2012,pop_2012,area_2012,road_2012,terti_2012,invest_2012,forncap_2012,bus_2012,taxi_2012,hotel_2012,spot5A_2012,scenum_2012,subnum_2012,grnld_2012,tarl_2013,trev_2013,dmarl_2013,dmrev_2013,inarl_2013,inrev_2013,CPIpy_2013,CPI11_2013,hprice_2013,emphotel_2013,GDP_2013,GDPpc_2013,slry_2013,pop_2013,area_2013,road_2013,terti_2013,invest_2013,forncap_2013,bus_2013,taxi_2013,hotel_2013,spot5A_2013,scenum_2013,subnum_2013,grnld_2013,tarl_2014,trev_2014,dmarl_2014,dmrev_2014,inarl_2014,inrev_2014,CPIpy_2014,CPI11_2014,hprice_2014,emphotel_2014,GDP_2014,GDPpc_2014,slry_2014,pop_2014,area_2014,road_2014,terti_2014,invest_2014,forncap_2014,bus_2014,taxi_2014,hotel_2014,spot5A_2014,scenum_2014,subnum_2014,grnld_2014,tarl_2015,trev_2015,dmarl_2015,dmrev_2015,inarl_2015,inrev_2015,CPIpy_2015,CPI11_2015,hprice_2015,emphotel_2015,GDP_2015,GDPpc_2015,slry_2015,pop_2015,area_2015,road_2015,terti_2015,invest_2015,forncap_2015,bus_2015,taxi_2015,hotel_2015,spot5A_2015,scenum_2015,subnum_2015,grnld_2015,tarl_2016,trev_2016,dmarl_2016,dmrev_2016,inarl_2016,inrev_2016,CPIpy_2016,CPI11_2016,hprice_2016,emphotel_2016,GDP_2016,GDPpc_2016,slry_2016,pop_2016,area_2016,road_2016,terti_2016,invest_2016,forncap_2016,bus_2016,taxi_2016,hotel_2016,spot5A_2016,scenum_2016,subnum_2016,grnld_2016,tarl_2017,trev_2017,dmarl_2017,dmrev_2017,inarl_2017,inrev_2017,CPIpy_2017,CPI11_2017,hprice_2017,emphotel_2017,GDP_2017,GDPpc_2017,slry_2017,pop_2017,area_2017,road_2017,terti_2017,invest_2017,forncap_2017,bus_2017,taxi_2017,hotel_2017,spot5A_2017,scenum_2017,subnum_2017,grnld_2017,tarl_2018,trev_2018,dmarl_2018,dmrev_2018,inarl_2018,inrev_2018,CPIpy_2018,CPI11_2018,hprice_2018,emphotel_2018,GDP_2018,GDPpc_2018,slry_2018,pop_2018,area_2018,road_2018,terti_2018,invest_2018,forncap_2018,bus_2018,taxi_2018,hotel_2018,spot5A_2018,scenum_2018,subnum_2018,grnld_2018,tarl_2019,trev_2019,dmarl_2019,dmrev_2019,inarl_2019,inrev_2019,CPIpy_2019,CPI11_2019,hprice_2019,emphotel_2019,GDP_2019,GDPpc_2019,slry_2019,pop_2019,area_2019,road_2019,terti_2019,invest_2019,forncap_2019,bus_2019,taxi_2019,hotel_2019,spot5A_2019,scenum_2019,subnum_2019,grnld_2019
三亚市,Sanya,18.2587362917478,109.518556701399,10210.9,12888.0003896,9682,10870,528.9,312.442,100,1,12727.31584,2.44,2864966,41078,37023.09,73.72999999999999,1915,386.4,65.31,3555338,22496,569,1232,65,2,1,0,1493,11003.807,19222.915625,10540.792,17546,463.015,265.65,103,1.03,11430.73412636,3.08,3248228,45509,39955,78.90000000000001,1915,396.29,65.28,4303402,23578,566,1234,53,2,1,0,1407,12200.488,23332.64736192,11802.126,21723,398.362,259.9056,103.2,1.06296,14245.139118,3.47,3658868,50328,47323,81.39,1915,404.32,66.90000000000001,5232901,24200,611,1850,50,2,1,0,2385,13527.578,26972.547636,13138.978,25797,388.6,191.37,102.9,1.09378584,19575.25471603,3.3307,4022558,54584,54641,84.67,1919,429,65.01000000000001,6295555,23011,734,1850,50,2,1,0,1571,14957.271,30241.83491199999,14599.087,29185,358.184,169.68,100.8,1.10253612672,17997.2534,3.2218,4411933,58486,61502,86.92999999999999,1921,696.4400000000001,65.72,7059670,14981,749,2350,44,2,1,0,1571,16515.782,32240.192348,16066.925,30548,448.857,254.76,102.6,1.13120206601472,18125.43588,3.1635,4930618,63273,65030,89.89,1915,784.54,66.09,7830871,20823,734,2550,42,3,1,0,2222,18309.676,40617.6131088,17616.876,37035,692.8,530.616,102.9,1.164006925929147,23410.4246906,3.1589,5460998,69780,72826,93.17999999999999,1915,843.9399999999999,67.63,8680863,7043,862,2550,40,3,1,0,2043,20996.981,51407.98854,20280.823,47556,716.158,582.1,102.5,1.193107099077376,23246.86546,3.2682,6222669,77434,79661,95.83,1915,857.65,68.68000000000001,,10383,1095,2550,43,3,1,0,2086,22931.226,63309.958875,22036.352,57717,894.874,810.75,102.9,1.22770720495062,23765.34115,3.186,6778612,87105,87058,98.84999999999999,1922,1016.48,72.86,,26200,1158,2543,37,3,1,0,2274
三明市,Sanming,26.2697365159918,117.645521167821,15640.529,18259.728376,15600,18040,40.529,34.02,100,1,4781.12564,.22,12358328,48376,37601.84,251,23094,332,33.47,9230331,9201,294,339,38,1,3,0,1094,12622.759,8108.496875,12574.1,7850,48.659,40.95,102.3,1.023,5343.10069259,.23,13680111,53244,41941,250.4,23094,332,33.3,10928616,10300,308,339,39,1,3,0,1241,14848.405,11001.126856,14802.6,10756,45.805,39.58,102.4,1.047552,6060.86114735,.2,15334749,58938,46552,251,22965,346,32.13,13341251,12500,312,374,46,1,3,0,1330,17244.107,13110.617464,17191.7,12838,52.407,44.38,102,1.06850304,,.1633,16837601,64590,52087,251,22965,355,32.41,16030831,14033,329,374,,1,3,0,1628,19472.374,15002.392276,19467.1,14701,5.274,48.39,101.4,1.08346208256,,.1436,17129906,67978,57807,253,22965,357.52,34.2,19120197,15636,357,404,,1,3,0,1693,22931.302,19084.474599,22866.2,18705,65.102,57.13,101.1,1.09538016546816,,.134,19389782,73261,62712,255,23095,326,35.09,21417227,17090,392,404,,1,3,0,1745,27570.005,24603.036542,27492.3,24119,77.705,71.69,100.7,1.103047826626437,5810.079184115174,.112,21438252,83440,71555,257,22965,327.27,42.67,24985000,18441,400,404,,1,3,0,1750,33126.489,33033.608324,33030.9,32390,95.589,97.26000000000001,101.4,1.118490496199207,7006.584491428216,.0997,23544019,91406,81998,258,22965,365,35.77,,3978,421,404,,1,3,0,1790,38267.251,41685.995215,38162.99,40877.56,104.261,117.19,102.7,1.148689739596586,7000.401750787643,.0964,26015584,100641,86559,259,22965,368,34.42,,1941,432,404,,1,3,0,1815
三门峡市,Sanmenxia,34.7783272494599,111.206533223874,14738.5,11698,17277,9661,46.029,8.359999999999999,100,1,2443.287037,.26,10304485,46049,33628.16,222.17,10496,289,23.31,7490674,63149,243,456,24,0,0,0,1197,17570,15000,20283.2,12115.09,52.596,12.6262,102.5,1.025,2897.71176656,.29,11273204,50405.56226246,39387,218.52,10496,288.9,23.98,9255442,74672,255,400,25,0,0,0,1197,20540,17600,22685.819,15670.47,61.519,16.624,102.51968068,1.05082672697,3150.53555751,.27,12046790.006,53863.27158249,42929.23447347,216.38,10496,316.3,25.74,11380263,86857,238,400,24,0,0,0,1197,23740,20300,25316.6,17513.46,67.548,18.161,101.51289214,1.066724601927348,3252.251579,.2319,12400597,55260,44357.84,215,10496,326,28.5,13275671,95679,248,600,25,0,0,0,1197,26870,22600,28911.6,20263.08,73.762,19.67,101.48681019,1.082584772008041,3243.992977,.209,12510383,55681,44573,211.16,10496,486.58,32.35,15387698,100817,262,600,25,0,0,0,1555,30280,25800,32080,23560.86,87.557,,101.26413618,1.096270117790165,3221.866062,.2108,13258631,58894,46479,207.82,10496,580.8,34.2,17731244,106296,395,798,18,0,0,0,1964,34680,30200,34578.9,29502,102.606,25.6449,100.7,1.103944008614696,3491.531012,.23,14474159,63977,57207,205.31,10496,620.67,49.12,19858300,107906,410,798,16,0,0,0,1986,43190,37200,40861,35404,112.332,26.72,101.94469368,1.125412337980965,3991.877206,.2661,15281245.55,67275,64578,203.34,10496,651.79,37.14,,111438,297,798,16,0,0,0,2011,50170,43300,43785.1,37843,117.169,37,102.2,1.150171409416546,4030.83444395,.2549,14066071,69400.38977699001,66132,202.02,10496,665.95,41.74,,115904,402,798,17,0,0,0,2106
上海|上海,Shanghai,31.235929042252,121.480538860176,238965.7,316337.098,230790,278650,8175.7,5835,100,1,13448.3,16.71,200096800,86061,77031,2347.46,6340.5,26176,58.05,50642624,1260055,16589,50438,297,3,0,289,122283,258944,357845.065,250940,322608.69,8004,5582,102.8,1.028,13869.88817239,20.13,213055900,90127,80191,2399,6340,26813,60.45,52513998,1518453,16695,50683,278,3,0,284,124204,267480.807,329853.1084,259906.8,296800,7574.007,5337,102.3,1.051644,16192.151,21.64,232041200,96773,91477,2448,6340,27290,62.24,56441312,1677958,16717,50612,271,3,0,310,124295,276093,329914.674,268180,294870,7913,5705,102.7,1.080038388,16415.42806767,24.42,252697500,104402,100623,2467,6340,27918,64.81999999999999,60129660,1816593,16155,50738,255,3,0,310,125741,283695.8,337594.264,275694.2,300473,8001.6,5960,102.4,1.105959309312,21501.09724616,24.2592,268870200,111081,100966,2458,6341,28567,67.76000000000001,63493886,1845923,16531,49586,247,3,0,358,127332,304749.7,387767.219,296206,344393,8543.700000000001,6530,103.2,1.141350007209984,25910.00272453,24.2978,298870200,123628,120503,2467,6340.5,29250,69.78,67516768,1851378,16693,47271,238,3,0,358,128847,327182.8,448492.758,318452.7,402513,8730.1,6810,101.7,1.160752957332554,24866.13198968,25.5494,329250100,136109,130765,2466,6341,29841,69.18000000000001,72466000,1700823,17461,46397,229,3,0,390,136327,348705.8,496491.8554,339768.7,447715,8937.1,7371,101.6,1.179325004649875,28981.10571,30.4811,360118200,148744,142983,2475,6341,30281,69.90000000000001,,1730009,17513,41881,206,3,0,415,139427,370377.4,536711.836,361405.1,478930,8972.299999999999,8376,102.5,1.208808129766122,32925.7590308,29.9079,379875500,157279,160256,2481,6341,30839,72.73,,1904791,17899,39962,195,3,0,415,157785
上饶市,Shangrao,28.4606259218517,117.949459603122,18712.5,13921.519064,18560,13600,152.5,49.78,100,1,3191.737771,.14,11105823,16813,27401.7,658.0896,22791,759.11,30.17,8284593,59366,257,511,47,1,3,0,1919,25038.3,16763.789375,24860,16400,178.3,57.63,102.6,1.026,3578.59781331,.46,12653897,19077,33104.57,657.1623999999999,22791,884.6999999999999,32.4,9792325,67516,228,510,51,1,5,0,1956,34697.4,27186.517612,34510,26800,187.4,62.41,102.7,1.053702,4092.29805904,.43,14013100,21061,40937.15,656.4159999999999,22791,938.9,34.94,11646829,75733,260,511,49,2,5,0,2029,43053,38702.0320588,42829.6,38263,223.4,71.471,102.3,1.077937146,4894.343067,.3866,15502360,23221,43560.25,655.5183,22791,939,35.99,13433252,83912,238,511,59,2,5,0,2062,52986.401,53439.69266004,52734.2,52949,252.201,78.7831,101.2,1.090872391752,4523.677759,.409,16508064,24633,50414,654.5755,22791,1432.86,37.84,15602263,94111,289,615,53,2,5,0,3289,64592.63800000001,73474.07873253,64333.8,72912,258.838,84.6211,101.7,1.109417222411784,4490.770443,.3624,18177664,26996,54322,653.4153,22791,1493.86,40.11,17902920,103857,352,511,51,2,5,0,3467,66031.345,82554.58267258,65797.5,81976,233.845,85.6931,102.1,1.132714984082432,5197.328887,.3876,20554500,30372,58376,652.8461,22757,1668.86,53.24,20042086,114046,350,511,47,3,5,0,3564,80026.8,101601.74264012,79754.3,100928,272.5,101.8138,102.29119895,1.158667737904221,5988.923349,.3232,23106000,32555,64315,651.8075,22757,1693.1,42.08,,124907,350,511,45,3,5,0,3633,93497.20000000001,119044.7754486,93214.60000000001,118194,282.6,123.3276,102.38328785,1.186282125323562,6406.69150169,.3333,25130700,36839,69145,650.2694,22757,1746.5,50.17,,134936,661,615,45,3,5,0,3732
东莞市,Dongguan,23.0273084116433,113.758420457876,16861.33,24900.9191352,13999.93,19025,2861.4,909.754,100,1,7644.717205,.07,48872609.05,57525.61153747,49898.54,825.48,2472,12807,49.65,10797662,305052,1417,7671,91,0,0,0,75354,17353.915,30629.10716875,14320.531,22617,3033.384,1269.2447,102.86569,1.0286569,8099.61395931,.07,51902011.32,57632.7209252,57007,924.45,2460,12943,52.21,11803493,336938,1656,7691,89,0,0,15,79360,17952.512,34643.9911614,14808.573,25665,3143.939,1449.8145,101.88911,1.04808936036359,8736.7580645,4.12,57404388.651,60842.92665113,42870,992.5200000000001,2460.01,13322,53.75,13839352,393775,1416,7691,89,0,0,0,81427,17585.1,37456.480004,14852.1,27782,2733,1574.93,102.27599,1.071943769396529,9155.824216000001,3.1031,61748289.67900001,63064.76668312,47599.51,995.7299999999999,2460.01,13947,52.14,14271099,452919,1453,7691,63,0,0,0,82594,18787.593,39603.865012,16242.057,29779,2545.536,1577.43,101.4,1.086950982168081,9641.55320513,2.9201,66653368.204,66810.37257971001,53221,999.5700000000001,2460.0847,14244.4,53.1,14465180,531982,4904,7761,59,0,0,0,82750,20076.669,44543.606471,17542.277,34223,2534.392,1553.77,102.71169143,1.116425738799834,13780.11644,2.7852,72609151.02500001,72027.52873082001,57649,1016.58,2460.08,14055,53.17,15574580,392617,5395,6583,38,0,0,15,84771,21614.8,48889.657476,19072.2,38115,2542.6,1595.82,101.36973526,1.13171781579589,17271.29573,2.8609,80792023.91500001,78637.36024400999,61619,1038.22,2460.08,12743.89,,17128300,171893,,,33,0,0,15,77582,21864.613,52937.13226536,19357.452,42150,2507.161,1630.1164,102.49885798,1.159997836746988,18042.271,2.8322,88181052,84708.42991561,69937,1043.77,2460.08,12332.62,51.05,,127247,,,31,0,0,15,75447,23016.365,57399.06538,20506.256,46423,2510.109,1591.08,103.5,1.200597761033132,19909.8153,3.0071,94744278.598,90696.05996172001,74017,1045.5,2460.08,12311.46,43.16,,129092,,,29,0,0,15,70754
东营市,Dongying,37.4396418263233,118.681384935136,7791.3,5686.4642528,7748,5420,43.3,41.256,100,1,4086.340551,.95,18529900,90569,45608.44,,7950,1905.5,24.75,13239485,14035,835,3264,29,0,0,0,5808,9434.266,7060.8277625,9381,6740,53.266,50.8242,102.4,1.024,4919.26552026,1.31,20678000,100194,50194.16,207.26,7950,2022.36,25.67,19629983,16232,868,3404,29,0,0,0,6233,11031.3,8470.55374836,10976.2,8175,55.1,47.7223,102,1.04448,4796.36763897,.9,22421800,107862,56814,208.49,8243,2267,26.91,23321320,19335,961,3405,28,0,0,0,6841,12496.122,9890.518539999999,12440,9580,56.122,50.55,101.4,1.05910272,4819.65545,.83,23707700,113326,60773.71,209.91,8243,2296,30.02,27082022,21510,1025,3405,31,0,0,0,7199,13840.842,11303.1543056,13783.3,10980,57.542,51.884,101.5,1.0749892608,5379.675018,.6956,23968100,113871,67466,211.06,8243,2356.7,31.94,30846750,22194,1014,3405,28,0,0,0,7367,15091.239,12913.50885716,15031.4,12563,59.839,52.7692,101.7,1.0932640782336,5179.981875,1.147,24291600,114510,73129,213.21,8243.2616,2759.95,34.33,24725471,22304,1166,3405,28,0,0,0,8630,17003.3,14863.5995502,16941.3,14493,62,54.889,101.4,1.108569775328871,5354.112304,1.1408,26352200,122949,76938,215.46,8243.2721,2777.5,34.7,25574520,23223,1129,3105,22,0,0,0,9571,18433.495,18245.4255256,18369.8,17905,63.695,51.444,102.8,1.139609729038079,6242.08568489,.5638,27848100,128727,89503,217.21,8243.2721,2814.78,34.26,,15773,796,2628,22,0,0,0,9590,20177,20570.02227855,20111.9,20255.49,65.09999999999999,45.5943,102.9,1.172658411180183,7012.85888688,.3589,29161900,134022,100224,217.97,8243,2860.46,37.56,,24385,1387,3425,24,1,0,0,9660
中卫市,Zhongwei,37.5057014187029,105.203570900887,1990.7,1224.262808,1988,1220,2.7,.66,100,1,2451.262996,.03,2215901,19624,36331.46,108.2268,17441,366,38.66,1845119,,212,1128,12,1,0,0,962,2202.4,1443.598125,2200,1440,2.4,.57,102,1.02,2765.28735727,.04,2505880.553,22779,39770.39196209,108.5703,17447.61003882,536,39.29,2403411,,419,1802,13,1,0,0,1415,2970,1807.93637008,2966.6,1798,3.4,1.6044,103.4,1.05468,3257.29294538,.03,2874801,25759,45262.28278734,109.2356,17447.61003882,542,39.15,2827233,,439,1847,,1,0,0,1476,3368.400000000001,2096,3363.8,2079.6632234,4.6,2.6595,101.7,1.07260956,3077.75254961,.033,2975704,26354,48933.71,108.9865,17448,542,38.44,3340251,,252,1211,,1,0,0,1484,4300,3300,3839.3,2358.80356988,6.7,3.7243,101.8,1.09191653208,3481.238732,.0387,3168907,27857,55473,108.6831,17448.09,542.14,38.83,3076241,,242,1211,,1,0,0,1550,5500,4230,,,,,101.7,1.110479113125361,3529.114396,.023,3391289,29549,60520,108.7148,17448.09,423.0000000000001,40.55,3622399,,297,1138,,1,0,0,1674,6820,5360,5026.5,3785,10.6,7.0555,101.8,1.130467737161617,3584.551861,.0193,3741277,32374,64448,108.0016,17448.09,549,47.82,2624966,,454,1138,,1,0,0,2098,7600,6200,,,,,102.2,1.155338027379173,3764.556839,,4029900,34653,74473,107.8702,17561.72,576,42.16,,10100,277,1138,,1,0,0,2116,8530,7000,6010.8,5305,31.6,15.9283,101.3,1.170357421735102,3900.98978418,.0032,4376463,37358,80012,107.3198,17561.72,588,43.46,,4719,277,1138,,1,0,0,2148
中山市,Zhongshan,22.5223146707905,113.399422362631,6652.747,15131.4506606,6044.586,13535,608.1609999999999,247.1745,100,1,5825.032014,.35,21025814.14,64947.60881585,48420.3,314.23,1800,1796,41.56,7669539,73044,2148,1386,36,0,0,0,3331,8002.538,18068.399125,7443.965,16681,558.573,219.786,102.28485,1.0228485,5300.22585145,.62,23065243.8,66859.65505247,55480,354.76,1784,755,42,8934346,84177,2240,1384,33,0,0,0,3422,8614.225,19800.59078124,8076.482,18321,537.7430000000001,238.9057,101.57143,1.03892184818355,5798.89914657,1.56,24700562.629,67972.59866452,48449,372.02,1783.67,1047,42,9629280,64637,2363,1581,30,0,0,0,3573,9021.6,21021.83678,8419.5,18065,602.1,481.35,102.17782,1.061547695977661,5865.363388,1.3624,25805879.182,67954.91555529,53125.99,387.48,1783.67,1069,42.34,9036570,68079,2293,1581,29,0,0,0,3781,9868.655000000001,22760.741412,9270.530000000001,20902,598.125,298.43,100.8,1.070040077545482,5766.31426083,1.3545,27113625.215,69128.61459025,58776,396.96,1783.665,1092.26,43.55,10554086,45682,2411,1760,22,0,0,0,4255,11178.057,24700.506331,10556.395,22894,621.662,271.97,101.92431314,1.090630999360956,7263.286128,1.3094,28304301.503,70351.83372358,64790,407.69,1783.67,1072,45.5,11490146,47446,2484,1760,22,1,0,0,5425,13335.2,28740.208386,12674.1,26355,661.1,353.27,101.60129958,1.108095268973073,10851.95327,1.3132,29395227.648,71198.15835283999,68034,418.04,1783.67,1657.08,,12484800,50934,,,21,1,0,0,6006,14121.801,29410.73670324,13338.908,27609,782.893,272.2726,101.405213,1.123666367745068,12082.4226,1.2881,30537303,72118.89332357,74484,428.82,1783.67,1481.34,49.3,,52716,,,15,1,0,0,2348,14962.738,30374.97408,14131.804,28269,830.934,305.28,103.10175797,1.158519778862809,12524.88379,1.2881,31237872.513,72013.99922332,85691,438.73,1783.67,1713.54,48.91,,55154,,,15,1,0,0,6320
临汾市,Linfen,36.0937418954197,111.52553022403,13773,12143.2074172,13653,11980,120,25.269,100,1,2708.265033,.25,11360573,26220,28522.78,428.0772,20275,505,30.38,6073487,9033,226,1862,44,0,1,0,1375,17543.408,15993.6875,17398,15798,145.408,31,103.03668,1.0303668,2779.75300674,.24,12210801,28031,34555,423.9523,20275,509.9999999999999,31.22,8224503,13611,302,1862,43,0,1,0,1414,21507.238,19500.35283128,21343.8,19283,163.438,35.0954,102.41428,1.05524273957904,3443.29392868,.15,12239045,27949,39222,419.9106,20275,528,33.01,10362704,13880,314,1862,40,0,1,0,1808,26301.628,24231.85493988,26267.4,24144,34.228,14.3021,101.73345433,1.073534890540284,3983.34766847,.14,12132401,27557,41293,416.5278,20275,636,37.84,12294284,14913,287,1862,,0,1,0,1834,31791.348,29495.60600076,31755.2,29402,36.148,15.0289,102.53805,1.100781742829641,3940.65485,.1162,11611090,26239,47543,413.2508,20275,713,43.64,14012204,15660,425,1862,,0,1,0,1974,40279.09600000001,37519.50164359,40240.9,37414,38.196,15.8833,100.50977291,1.106393229952813,4128.004184,.1015,12051761.1,27102,49984,410.3716000000001,20275,720,45.48,13942534,16661,508,1862,,0,1,0,1875,52554.388,48406.76580446,52513.7,48293,40.688,16.8497,100.35301314,1.110298943434617,4079.425634,.1085,13203300,29539,56013,407.6342,20275,748,75.26000000000001,5789446,17808,448,1862,,0,1,0,1887,68806.62000000001,63406.36300856,68764.3,63290,42.32,17.5844,102.02737045,1.132808816120472,4475.1680745,.1019,14400429.72,32066,62471,403.3039,20275,723,47.6,,18708,425,1862,,1,1,0,1969,83468.85399999999,76804.30309915,83425.89999999999,76681,42.954,17.8739,102.74557329,1.163910912402641,4937.75395666,.1101,14483800,32155,65203,400.0132,20275,739.28,49.6,,923,423,1862,,1,1,0,2006
